"","1H4","1H6","2H4","2H6","3H6","Ado","Ant","AWW","AYL","Cor","Cym","Err","H5","H8","Ham","JC","Jn","LLL","Lr","Mac","MM","MND","MV","Oth","Per","R2","R3","Rom","Shr","TGV","Tim","Tit","Tmp","TN","Tro","Wiv","WT"
"’tis",29,18,27,44,36,18,59,53,31,50,54,15,36,65,73,23,17,16,53,37,45,5,21,87,32,27,32,41,53,39,51,28,18,32,51,49,49
"a",531,293,489,348,277,461,304,448,426,381,441,233,398,426,505,245,331,416,383,223,400,244,425,412,309,286,360,439,416,318,275,270,284,385,448,441,399
"accents",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"acquaintance",2,0,2,0,0,1,0,1,3,1,1,0,0,2,0,0,1,0,1,0,0,3,1,2,1,0,0,1,1,0,0,0,1,4,1,4,0
"acres",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"advantage",6,4,1,2,0,0,2,3,0,2,4,0,2,1,1,3,8,0,1,1,3,1,1,5,1,3,2,0,0,2,0,1,2,1,3,2,0
"afar",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"against",19,13,21,17,14,19,15,19,14,38,15,14,16,28,24,8,26,8,23,14,19,6,4,18,3,36,20,10,4,8,14,6,9,8,8,14,14
"ago",4,0,2,0,1,0,0,0,1,0,2,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,2,2,0,1,1,0,3,0,0,2
"all",130,79,99,137,83,82,101,92,88,127,108,44,128,159,113,101,92,62,101,84,86,74,80,90,83,105,139,94,117,63,108,99,87,49,139,74,101
"allies",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"an",81,21,82,60,38,85,48,56,40,52,33,32,62,51,60,34,49,57,44,27,46,31,53,52,30,35,30,79,45,33,37,38,29,57,73,50,51
"and",815,676,831,866,872,577,605,573,625,688,638,421,955,672,898,598,670,442,660,524,537,466,572,747,485,688,877,661,722,403,497,762,465,478,740,573,624
"are",80,73,104,87,74,92,84,85,110,156,115,43,98,131,126,109,54,73,123,74,88,59,100,105,89,82,95,67,85,69,84,81,73,82,104,67,109
"armèd",2,1,3,0,1,0,0,0,0,0,0,0,3,0,1,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0
"arms",18,21,7,15,10,0,3,2,1,9,6,0,3,5,10,4,25,7,8,2,2,1,0,2,9,19,15,2,2,1,1,13,3,0,13,2,4
"as",242,115,168,172,143,143,136,140,272,222,390,54,193,158,226,135,130,118,119,88,290,131,181,171,131,141,138,155,300,172,80,116,113,149,239,176,229
"be",191,231,186,251,208,177,186,187,182,210,253,74,177,187,224,150,171,114,161,139,209,93,182,220,135,167,220,201,203,146,129,151,132,193,192,211,251
"bitter",1,1,3,1,1,1,0,3,4,0,2,0,2,3,3,0,1,2,2,0,2,4,0,3,0,2,7,3,3,3,0,7,0,0,3,0,3
"blessèd",2,2,1,3,1,0,2,1,0,1,4,1,2,3,0,0,5,1,0,1,2,3,1,0,1,2,3,5,3,1,2,0,2,0,0,1,2
"blood",23,26,23,18,38,13,12,12,7,23,13,4,35,7,19,25,46,11,12,23,9,7,15,14,9,37,39,17,3,2,10,21,3,8,28,1,16
"bootless",2,0,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,2,1,1,1,0,1,0,0,0,0,2,1,0,0,0,0
"breathe",6,1,2,4,8,0,1,2,0,1,1,0,0,0,4,0,3,1,1,0,1,0,0,1,0,8,3,0,3,2,2,2,1,1,0,1,1
"bred",1,1,2,0,3,1,2,0,3,3,2,1,2,0,0,0,1,1,2,0,1,1,3,0,4,0,1,1,0,0,3,1,0,3,0,0,1
"broils",1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
"bruise",2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"but",177,151,168,172,194,170,181,187,186,191,225,108,161,134,269,144,151,132,123,121,195,110,179,216,149,148,191,176,146,148,132,117,110,157,196,123,223
"butchery",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"care",5,5,16,11,4,7,4,6,4,7,6,6,6,9,0,2,3,4,7,5,1,2,3,4,11,12,3,7,6,6,8,5,4,8,8,2,8
"channel",2,0,3,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chase",1,1,0,2,1,0,0,1,2,1,1,0,1,0,1,1,2,0,0,0,0,2,0,1,0,1,2,1,0,1,0,2,2,1,0,0,3
"children’s",1,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"christ",2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"civil",3,2,5,2,3,2,2,0,0,0,1,0,2,0,0,2,2,1,0,0,0,2,1,3,0,2,1,3,0,1,1,1,0,2,0,2,0
"close",7,2,3,7,4,3,3,1,0,0,4,0,4,5,3,3,2,1,2,3,3,2,2,4,1,0,5,7,2,3,4,2,1,3,2,1,4
"commenced",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"council",5,1,0,5,1,0,1,1,0,0,0,0,2,10,0,2,0,1,0,1,0,0,0,2,0,1,3,0,0,0,0,0,0,0,1,4,0
"cousin",29,1,25,5,6,31,0,2,12,1,0,0,14,0,4,0,8,0,0,6,6,0,0,2,0,39,19,17,1,0,0,2,0,7,14,9,0
"cross",7,3,0,1,4,4,1,0,2,1,0,2,0,2,1,3,0,1,0,0,2,3,2,0,3,2,3,2,3,3,0,1,0,0,0,1,0
"cut",5,1,3,7,5,3,4,1,11,6,6,1,14,1,2,6,3,1,5,3,5,3,10,2,5,5,5,4,7,1,6,14,1,3,4,4,4
"daub",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dear",9,4,5,4,2,9,17,14,11,10,12,5,17,5,26,8,9,11,22,4,6,13,13,16,7,16,24,26,4,6,7,16,12,16,18,2,11
"decree",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"did",71,31,48,39,38,39,69,35,51,62,56,52,47,43,63,75,40,36,23,41,30,30,47,69,43,36,56,40,23,26,20,33,39,44,23,23,38
"edge",2,0,3,2,2,0,3,1,0,1,1,0,2,1,3,0,0,3,0,2,1,0,1,0,1,1,1,0,1,0,0,1,1,0,3,0,0
"engaged",3,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0
"english",7,25,5,2,9,0,0,3,0,0,0,0,46,9,0,0,12,0,1,6,1,0,2,1,0,8,1,0,0,0,0,0,0,0,0,8,0
"entrance",1,2,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,0,2,0,0,0,0,1,1,0,2,1,0,0,1,0,1,1,0,1
"expedience",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"eyes",12,9,9,20,15,11,23,10,18,16,17,6,13,8,23,14,30,22,39,11,9,37,19,13,22,18,28,27,7,10,16,15,12,11,33,4,19
"far",9,5,5,8,13,1,8,8,1,8,18,2,6,23,9,7,2,3,13,5,2,4,7,3,6,17,11,5,8,7,5,3,5,4,5,3,10
"feet",1,5,0,5,1,0,3,0,3,0,1,2,2,0,1,1,2,3,2,2,0,0,0,1,1,3,1,1,2,1,0,5,3,2,1,0,0
"fields",5,0,1,0,0,0,0,1,1,0,1,0,6,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,3,0,0,2,2,0
"fight",13,25,4,15,21,2,24,1,1,11,6,0,12,2,3,3,6,2,2,10,1,2,1,1,0,14,16,1,0,1,1,2,1,3,25,4,3
"find",17,12,11,9,6,11,16,23,15,16,29,7,16,25,17,17,15,6,16,11,17,11,16,20,9,7,7,24,11,7,8,15,13,12,11,19,5
