"","Play.ID","Character.ID","Name","Gender","Age","Status","Married.in.Beginning","Married.at.End","Married.to","Sibling.to","Servant.to","Offspring.of.Father","Offspring.of.Mother","Dies","Death.Act.Number","Killed.by"
"1","1H4","#Bardolph_1H4","Bardolph","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1H4","#MistressQuickly_1H4","Mistress Quickly","F","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1H4","#Ostler_1H4","Ostler","M","Adult","Servant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1H4","#Peto_1H4","Peto","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1H4","#Sheriff_1H4","Sheriff","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1H4","#Vintner_1H4","Vintner","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1H6","#Gargrave_1H6","Gargrave","M","Young Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1H6","#Glansdale_1H6","Glansdale","M","Young Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1H6","#MasterGunner_1H6","MasterGunner","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1H6","#Porter_1H6","Porter","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1H6","#Pucelle_1H6","Pucelle","F","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,"Y",NA,"#York_1H6"
"12","1H6","#Woodville_1H6","Woodville","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2H4","#Bardolph_1H4","Bardolph","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2H4","#Bullcalf_2H4","Bullcalf","M","Young Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2H4","#DollTearsheet_2H4","Doll Tearsheet","F","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2H4","#Feeble_2H4","Feeble","M","Young Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2H4","#MistressQuickly_1H4","Mistress Quickly","F","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2H4","#Mouldy_2H4","Mouldy","M","Young Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2H4","#OFFICERS.Fang_2H4","Fang","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2H4","#OFFICERS.Snare_2H4","Snare","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2H4","#Pistol_2H4","Pistol","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2H4","#Poins_1H4","Poins","M","Young Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2H4","#Shadow_2H4","Shadow","M","Young Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2H4","#Shallow_2H4","Shallow","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2H4","#Silence_2H4","Silence","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2H4","#Wart_2H4","Wart","M","Young Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2H6","#Beadle_2H6","Beadle","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2H6","#Bevis_2H6","Bevis","M","Adult","Middle Class",NA,NA,NA,NA,"#Cade_2H6",NA,NA,NA,NA,NA
"29","2H6","#Bolingbroke_2H6","Bolingbroke","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2H6","#Cade_2H6","Cade","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,"Y",4,"#Iden_2H6"
"31","2H6","#Clerk_2H6","Clerk","M","Adult","Middle Class",NA,NA,NA,NA,"#Cade_2H6",NA,NA,NA,NA,NA
"32","2H6","#Dick_2H6","Dick","M","Adult","Middle Class",NA,NA,NA,NA,"#Cade_2H6",NA,NA,NA,NA,NA
"33","2H6","#Holland_2H6","Holland","M","Adult","Middle Class",NA,NA,NA,NA,"#Cade_2H6",NA,NA,NA,NA,NA
"34","2H6","#Horner_2H6","Horner","M","Adult","Middle Class",NA,NA,NA,NA,"#York_1H6",NA,NA,NA,NA,NA
"35","2H6","#Hume_2H6","Hume","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2H6","#Jourdain_2H6","Jourdain","F","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2H6","#Lieutenant_2H6","Lieutenant","M","Adult","Middle Class",NA,NA,NA,NA,"#Master_2H6",NA,NA,NA,NA,NA
"38","2H6","#Master_2H6","Master","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2H6","#MayorOfStAlbans_2H6","Mayor","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2H6","#Michael_2H6","Michael","M","Adult","Middle Class",NA,NA,NA,NA,"#Cade_2H6",NA,NA,NA,NA,NA
"41","2H6","#Sheriff_2H6","Sheriff","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2H6","#Simpcox_2H6","Simpcox","M","Adult","Middle Class","Y","Y","#SimpcoxWife_2H6",NA,NA,NA,NA,NA,NA,NA
"43","2H6","#SimpcoxWife_2H6","Simpcox's Wife","F","Adult","Middle Class","Y","Y","#Simpcox_2H6",NA,NA,NA,NA,NA,NA,NA
"44","2H6","#Smith_2H6","Smith","M","Adult","Middle Class",NA,NA,NA,NA,"#Cade_2H6",NA,NA,NA,NA,NA
"45","Ant","#Pompey_Ant","Pompey","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","AWW","#Diana_AWW","Diana","F","Young Adult","Middle Class",NA,NA,NA,NA,NA,NA,"#Widow_AWW",NA,NA,NA
"47","AWW","#GENTLEMEN.1_AWW","First Gentleman","M","Adult","Middle Class",NA,NA,NA,NA,"#King_AWW",NA,NA,NA,NA,NA
"48","AWW","#GENTLEMEN.2_AWW","Second Gentleman","M","Adult","Middle Class",NA,NA,NA,NA,"#King_AWW",NA,NA,NA,NA,NA
"49","AWW","#GENTLEMEN.3_AWW","Gentleman","M","Adult","Middle Class",NA,NA,NA,NA,"#King_AWW",NA,NA,NA,NA,NA
"50","AWW","#Helen_AWW","Helena","F","Young Adult","Middle Class",NA,"Y","#Bertram_AWW",NA,NA,NA,NA,NA,NA,NA
"51","AWW","#Mariana_AWW","Mariana","F","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","AWW","#Parolles_AWW","Parolles","M","Young Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","AWW","#SOLDIERS_AWW","Soldier","M",NA,"Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","AWW","#SOLDIERS.0.1_AWW","Soldier","M",NA,"Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","AWW","#SOLDIERS.Interpreter_AWW","First Soldier","M",NA,"Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","AWW","#Widow_AWW","Widow","F","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Cym","#Cloten_Cym","Cloten","M","Young Adult","Middle Class","N","N",NA,NA,NA,NA,"#Queen_Cym","Y",4,NA
"58","Cym","#Cornelius_Cym","Cornelius","M","Adult","Middle Class","N","N",NA,NA,NA,NA,NA,"N",NA,NA
"59","Err","#Abbess_Err","Abbess","F","Adult","Middle Class","Y","Y","#Egeon_Err",NA,NA,NA,NA,NA,NA,NA
"60","Err","#Adriana_Err","Adriana","F","Young Adult","Middle Class","Y","Y","#AntipholusOfEphesus_Err",NA,NA,NA,NA,NA,NA,NA
"61","Err","#Angelo_Err","Angelo","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Err","#AntipholusOfEphesus_Err","Antipholus of Ephesus","M","Young Adult","Middle Class","Y","Y","#Adriana_Err","#AntipholusOfSyracuse_Err",NA,"#Egeon_Err","#Abbess_Err",NA,NA,NA
"63","Err","#AntipholusOfSyracuse_Err","Antipholus of Syracuse","M","Young Adult","Middle Class",NA,NA,NA,"#AntipholusOfEphesus_Err",NA,"#Egeon_Err","#Abbess_Err",NA,NA,NA
"64","Err","#Balthasar_Err","Balthasar","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Err","#Egeon_Err","Egeon","M","Adult","Middle Class","Y","Y","#Abbess_Err",NA,NA,NA,NA,NA,NA,NA
"66","Err","#Luciana_Err","Luciana","F","Young Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","H5","#Cambridge_H5","Cambridge","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","H5","#Grey_H5","Grey","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","H5","#Jamy_H5","Jamy","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","H5","#Scroop_H5","Scroop","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","H8","#Brandon_H8","Brandon","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","H8","#Butts_H8","Butts","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","H8","#Capuchius_H8","Capuchius","M","Young Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","H8","#Cranmer_H8","Cranmer","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","H8","#Crier_H8","Crier","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","H8","#Cromwell_H8","Cromwell","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","H8","#Denny_H8","Denny","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","H8","#Garter_H8","Garter","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","H8","#Keeper_H8","Keeper","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","H8","#Messenger_H8","Messenger","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","H8","#OldLady_H8","Old Lady","F","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","H8","#Page_H8","Page","M","Young Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","H8","#Porter_H8","Porter","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","H8","#Scribe_H8","Scribe","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","H8","#Sergeant_H8","Sergeant","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","H8","#Surveyor_H8","Surveyor","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","H8","#Usher_H8","Usher","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","H8","#Vaux_H8","Vaux","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Ham","#Doctor_Ham","Doctor","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Ham","#Guildenstern_Ham","Guildenstern","M","Young Adult","Middle Class",NA,NA,NA,NA,"#Claudius_Ham",NA,NA,"Y",5,"#Hamlet_Ham"
"91","Ham","#Horatio_Ham","Horatio","M","Young Adult","Middle Class",NA,NA,NA,NA,"#Hamlet_Ham",NA,NA,NA,NA,NA
"92","Ham","#Rosencrantz_Ham","Rosencrantz","M","Young Adult","Middle Class",NA,NA,NA,NA,"#Claudius_Ham",NA,NA,"Y",5,"#Hamlet_Ham"
"93","Jn","#Austria_Jn","Austria","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,"Y",3,"#Bastard_Jn"
"94","Jn","#Hubert_Jn","Hubert","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Jn","#Pandulph_Jn","Pandulph","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Jn","#Peter_Jn","Peter","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","LLL","#Holofernes_LLL","Holofernes","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","LLL","#Nathaniel_LLL","Nathaniel","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Mac","#Doctor1_Mac","Doctor","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Mac","#Doctor2_Mac","Doctor","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","MM","#Claudio_MM","Claudio","M","Young Adult","Middle Class","N","Y","#Juliet_MM","#Isabella_MM",NA,NA,NA,NA,NA,NA
"102","MM","#FriarPeter_MM","FriarPeter","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","MM","#FriarThomas_MM","FriarThomas","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","MM","#Froth_MM","Froth","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","MM","#GENTLEMEN.1_MM","GENTLEMEN.1","M",NA,"Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","MM","#GENTLEMEN.2_MM","GENTLEMEN.2","M",NA,"Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","MM","#Isabella_MM","Isabella","F","Young Adult","Middle Class","N","Y","#Duke_MM","#Claudio_MM",NA,NA,NA,NA,NA,NA
"108","MM","#Juliet_MM","Juliet","F","Young Adult","Middle Class","N","Y","#Claudio_MM",NA,NA,NA,NA,NA,NA,NA
"109","MM","#Justice_MM","Justice","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","MM","#Mariana_MM","Mariana","F","Young Adult","Middle Class","N","Y","#Angelo_MM",NA,NA,NA,NA,NA,NA,NA
"111","MM","#Nun_MM","Nun","F","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","MM","#Pompey_MM","Pompey","M","Adult","Middle Class",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
