"","PLAY","ACT","SCENE","CHARACTER"
"1","1H4","1","1","#HenryIV_1H4"
"2","1H4","1","1","#Westmoreland_1H4"
"3","1H4","1","1","#HenryIV_1H4"
"4","1H4","1","1","#Westmoreland_1H4"
"5","1H4","1","1","#HenryIV_1H4"
"6","1H4","1","1","#Westmoreland_1H4"
"7","1H4","1","1","#HenryIV_1H4"
"8","1H4","1","1","#Westmoreland_1H4"
"9","1H4","1","1","#HenryIV_1H4"
"10","1H4","1","1","#Westmoreland_1H4"
"11","1H4","1","2","#Falstaff_1H4"
"12","1H4","1","2","#HenryV_H5"
"13","1H4","1","2","#Falstaff_1H4"
"14","1H4","1","2","#HenryV_H5"
"15","1H4","1","2","#Falstaff_1H4"
"16","1H4","1","2","#HenryV_H5"
"17","1H4","1","2","#Falstaff_1H4"
"18","1H4","1","2","#HenryV_H5"
"19","1H4","1","2","#Falstaff_1H4"
"20","1H4","1","2","#HenryV_H5"
"21","1H4","1","2","#Falstaff_1H4"
"22","1H4","1","2","#HenryV_H5"
"23","1H4","1","2","#Falstaff_1H4"
"24","1H4","1","2","#HenryV_H5"
"25","1H4","1","2","#Falstaff_1H4"
"26","1H4","1","2","#HenryV_H5"
"27","1H4","1","2","#Falstaff_1H4"
"28","1H4","1","2","#HenryV_H5"
"29","1H4","1","2","#Falstaff_1H4"
"30","1H4","1","2","#HenryV_H5"
"31","1H4","1","2","#Falstaff_1H4"
"32","1H4","1","2","#HenryV_H5"
"33","1H4","1","2","#Falstaff_1H4"
"34","1H4","1","2","#HenryV_H5"
"35","1H4","1","2","#Falstaff_1H4"
"36","1H4","1","2","#HenryV_H5"
"37","1H4","1","2","#Falstaff_1H4"
"38","1H4","1","2","#HenryV_H5"
"39","1H4","1","2","#Falstaff_1H4"
"40","1H4","1","2","#HenryV_H5"
"41","1H4","1","2","#Falstaff_1H4"
"42","1H4","1","2","#HenryV_H5"
"43","1H4","1","2","#Falstaff_1H4"
"44","1H4","1","2","#HenryV_H5"
"45","1H4","1","2","#Poins_1H4"
"46","1H4","1","2","#HenryV_H5"
"47","1H4","SD 1","2","#Poins_1H4"
"48","1H4","1","2","#HenryV_H5"
"49","1H4","1","2","#Poins_1H4"
"50","1H4","1","2","#Falstaff_1H4"
"51","1H4","1","2","#Poins_1H4"
"52","1H4","1","2","#Falstaff_1H4"
"53","1H4","1","2","#HenryV_H5"
"54","1H4","1","2","#Falstaff_1H4"
"55","1H4","1","2","#HenryV_H5"
"56","1H4","1","2","#Falstaff_1H4"
"57","1H4","1","2","#HenryV_H5"
"58","1H4","1","2","#Falstaff_1H4"
"59","1H4","1","2","#HenryV_H5"
"60","1H4","1","2","#Poins_1H4"
"61","1H4","1","2","#Falstaff_1H4"
"62","1H4","1","2","#HenryV_H5"
"63","1H4","1","2","#Poins_1H4"
"64","1H4","1","2","#HenryV_H5"
"65","1H4","1","2","#Poins_1H4"
"66","1H4","1","2","#HenryV_H5"
"67","1H4","1","2","#Poins_1H4"
"68","1H4","1","2","#HenryV_H5"
"69","1H4","1","2","#Poins_1H4"
"70","1H4","1","2","#HenryV_H5"
"71","1H4","1","2","#Poins_1H4"
"72","1H4","1","2","#HenryV_H5"
"73","1H4","SD 1","3","#HenryIV_1H4"
"74","1H4","1","3","#Worcester_1H4"
"75","1H4","1","3","#Northumberland_R2"
"76","1H4","1","3","#HenryIV_1H4"
"77","1H4","1","3","#Northumberland_R2"
"78","1H4","1","3","#Hotspur_R2"
"79","1H4","1","3","#Blunt_1H4"
"80","1H4","1","3","#HenryIV_1H4"
"81","1H4","1","3","#Hotspur_R2"
"82","1H4","1","3","#HenryIV_1H4"
"83","1H4","1","3","#Hotspur_R2"
"84","1H4","1","3","#Northumberland_R2"
"85","1H4","1","3","#Hotspur_R2"
"86","1H4","1","3","#Northumberland_R2"
"87","1H4","1","3","#Worcester_1H4"
"88","1H4","1","3","#Hotspur_R2"
"89","1H4","1","3","#Worcester_1H4"
"90","1H4","1","3","#Northumberland_R2"
"91","1H4","1","3","#Worcester_1H4"
"92","1H4","1","3","#Hotspur_R2"
"93","1H4","1","3","#Northumberland_R2"
"94","1H4","1","3","#Hotspur_R2"
"95","1H4","1","3","#Worcester_1H4"
"96","1H4","1","3","#Hotspur_R2"
"97","1H4","SD 1","3","#Northumberland_R2"
"98","1H4","1","3","#Hotspur_R2"
"99","1H4","1","3","#Worcester_1H4"
"100","1H4","1","3","#Hotspur_R2"
"101","1H4","1","3","#Worcester_1H4"
"102","1H4","1","3","#Hotspur_R2"
"103","1H4","1","3","#Worcester_1H4"
"104","1H4","1","3","#Hotspur_R2"
"105","1H4","1","3","#Worcester_1H4"
"106","1H4","1","3","#Hotspur_R2"
"107","1H4","1","3","#Worcester_1H4"
"108","1H4","SD 1","3","#Northumberland_R2"
"109","1H4","1","3","#Hotspur_R2"
"110","1H4","1","3","#Northumberland_R2"
"111","1H4","1","3","#Hotspur_R2"
"112","1H4","1","3","#Worcester_1H4"
"113","1H4","1","3","#Hotspur_R2"
"114","1H4","1","3","#Worcester_1H4"
"115","1H4","1","3","#Hotspur_R2"
"116","1H4","1","3","#Worcester_1H4"
"117","1H4","1","3","#Hotspur_R2"
"118","1H4","1","3","#Northumberland_R2"
"119","1H4","1","3","#Hotspur_R2"
"120","1H4","1","3","#Worcester_1H4"
"121","1H4","1","3","#Hotspur_R2"
"122","1H4","1","3","#Worcester_1H4"
"123","1H4","1","3","#Hotspur_R2"
"124","1H4","1","3","#Worcester_1H4"
"125","1H4","1","3","#Northumberland_R2"
"126","1H4","1","3","#Hotspur_R2"
"127","1H4","2","1","#TRAVELERS.CARRIERS.1_1H4"
"128","1H4","SD 2","1","#Ostler_1H4"
"129","1H4","2","1","#TRAVELERS.CARRIERS.1_1H4"
"130","1H4","2","1","#TRAVELERS.CARRIERS.2_1H4"
"131","1H4","2","1","#TRAVELERS.CARRIERS.1_1H4"
"132","1H4","2","1","#TRAVELERS.CARRIERS.2_1H4"
"133","1H4","2","1","#TRAVELERS.CARRIERS.1_1H4"
"134","1H4","2","1","#TRAVELERS.CARRIERS.2_1H4"
"135","1H4","2","1","#TRAVELERS.CARRIERS.1_1H4"
"136","1H4","2","1","#TRAVELERS.CARRIERS.2_1H4"
"137","1H4","2","1","#TRAVELERS.CARRIERS.1_1H4"
"138","1H4","2","1","#Gadshill_1H4"
"139","1H4","2","1","#TRAVELERS.CARRIERS.1_1H4"
"140","1H4","2","1","#Gadshill_1H4"
"141","1H4","2","1","#TRAVELERS.CARRIERS.1_1H4"
"142","1H4","SD 2","1","#Gadshill_1H4"
"143","1H4","2","1","#TRAVELERS.CARRIERS.2_1H4"
"144","1H4","2","1","#Gadshill_1H4"
"145","1H4","2","1","#TRAVELERS.CARRIERS.2_1H4"
"146","1H4","2","1","#Gadshill_1H4"
"147","1H4","2","1","#Chamberlain_1H4"
"148","1H4","2","1","#Gadshill_1H4"
"149","1H4","2","1","#Chamberlain_1H4"
"150","1H4","2","1","#Gadshill_1H4"
"151","1H4","2","1","#Chamberlain_1H4"
"152","1H4","2","1","#Gadshill_1H4"
"153","1H4","2","1","#Chamberlain_1H4"
"154","1H4","2","1","#Gadshill_1H4"
"155","1H4","2","1","#Chamberlain_1H4"
"156","1H4","2","1","#Gadshill_1H4"
"157","1H4","2","1","#Chamberlain_1H4"
"158","1H4","2","1","#Gadshill_1H4"
"159","1H4","2","2","#Poins_1H4"
"160","1H4","2","2","#HenryV_H5"
"161","1H4","2","2","#Falstaff_1H4"
"162","1H4","2","2","#HenryV_H5"
"163","1H4","2","2","#Falstaff_1H4"
"164","1H4","2","2","#HenryV_H5"
"165","1H4","2","2","#Falstaff_1H4"
"166","1H4","2","2","#HenryV_H5"
"167","1H4","2","2","#Falstaff_1H4"
"168","1H4","2","2","#HenryV_H5"
"169","1H4","2","2","#Falstaff_1H4"
"170","1H4","2","2","#HenryV_H5"
"171","1H4","2","2","#Falstaff_1H4"
"172","1H4","2","2","#Gadshill_1H4"
"173","1H4","2","2","#Falstaff_1H4"
"174","1H4","2","2","#Poins_1H4"
"175","1H4","2","2","#Bardolph_1H4"
"176","1H4","2","2","#Gadshill_1H4"
"177","1H4","2","2","#Falstaff_1H4"
"178","1H4","2","2","#Gadshill_1H4"
"179","1H4","2","2","#Falstaff_1H4"
"180","1H4","2","2","#HenryV_H5"
"181","1H4","2","2","#Peto_1H4"
"182","1H4","2","2","#Gadshill_1H4"
"183","1H4","2","2","#Falstaff_1H4"
"184","1H4","2","2","#HenryV_H5"
"185","1H4","2","2","#Falstaff_1H4"
"186","1H4","2","2","#HenryV_H5"
"187","1H4","2","2","#Poins_1H4"
"188","1H4","2","2","#Falstaff_1H4"
"189","1H4","SD 2","2","#HenryV_H5"
"190","1H4","SD 2","2","#Poins_1H4"
"191","1H4","2","2","#Falstaff_1H4"
"192","1H4","2","2","#TRAVELERS.GENTLEMEN.0.1_1H4"
"193","1H4","SD 2","2","#Falstaff_1H4 #Bardolph_1H4 #Peto_1H4 #Gadshill_1H4"
"194","1H4","2","2","#TRAVELERS.CARRIERS_1H4 #TRAVELERS.GENTLEMEN_1H4"
"195","1H4","2","2","#Falstaff_1H4"
"196","1H4","2","2","#TRAVELERS.GENTLEMEN_1H4"
"197","1H4","2","2","#Falstaff_1H4"
"198","1H4","2","2","#HenryV_H5"
"199","1H4","2","2","#Poins_1H4"
"200","1H4","2","2","#Falstaff_1H4"
"201","1H4","2","2","#HenryV_H5"
"202","1H4","2","2","#Poins_1H4"
