"","PLAY","ACT","SCENE","SPEAKER"
"1","Tmp",1,1,"Master."
"2","Tmp",1,1,"Botes."
"3","Tmp",1,1,"Mast."
"4","Tmp",1,1,"Botes."
"5","Tmp",1,1,"Alon."
"6","Tmp",1,1,"Botes."
"7","Tmp",1,1,"Auth."
"8","Tmp",1,1,"Botes."
"9","Tmp",1,1,"Gonz."
"10","Tmp",1,1,"Botes."
"11","Tmp",1,1,"Gon."
"12","Tmp",1,1,"Botes."
"13","Tmp",1,1,"Gon."
"14","Tmp",1,1,"Botes."
"15","Tmp",1,1,"Sebas."
"16","Tmp",1,1,"Botes."
"17","Tmp",1,1,"Anth."
"18","Tmp",1,1,"Gonz."
"19","Tmp",1,1,"Botes."
"20","Tmp",1,1,"Mari."
"21","Tmp",1,1,"Botes."
"22","Tmp",1,1,"Gonz."
"23","Tmp",1,1,"Sebas."
"24","Tmp",1,1,"An."
"25","Tmp",1,1,"Gonz."
"26","Tmp",1,1,"Anth."
"27","Tmp",1,1,"Seb."
"28","Tmp",1,1,"Gonz."
"29","Tmp",1,2,"Mira."
"30","Tmp",1,2,"Pros."
"31","Tmp",1,2,"Mira."
"32","Tmp",1,2,"Pros."
"33","Tmp",1,2,"Mira."
"34","Tmp",1,2,"Pros."
"35","Tmp",1,2,"Mira."
"36","Tmp",1,2,"Pros."
"37","Tmp",1,2,"Mira."
"38","Tmp",1,2,"Pros."
"39","Tmp",1,2,"Mira."
"40","Tmp",1,2,"Pros."
"41","Tmp",1,2,"Mira."
"42","Tmp",1,2,"Pros."
"43","Tmp",1,2,"Mira."
"44","Tmp",1,2,"Pros."
"45","Tmp",1,2,"Mira."
"46","Tmp",1,2,"Pros."
"47","Tmp",1,2,"Mira."
"48","Tmp",1,2,"Pros."
"49","Tmp",1,2,"Mira."
"50","Tmp",1,2,"Pros."
"51","Tmp",1,2,"Mira."
"52","Tmp",1,2,"Pros."
"53","Tmp",1,2,"Mira."
"54","Tmp",1,2,"Pros."
"55","Tmp",1,2,"Mira."
"56","Tmp",1,2,"Pros."
"57","Tmp",1,2,"Mira."
"58","Tmp",1,2,"Pro."
"59","Tmp",1,2,"Mir."
"60","Tmp",1,2,"Pro."
"61","Tmp",1,2,"Mir."
"62","Tmp",1,2,"Pro."
"63","Tmp",1,2,"Mir."
"64","Tmp",1,2,"Pro."
"65","Tmp",1,2,"Mir."
"66","Tmp",1,2,"Pro."
"67","Tmp",1,2,"Mir."
"68","Tmp",1,2,"Pro."
"69","Tmp",1,2,"Mir."
"70","Tmp",1,2,"Pro."
"71","Tmp",1,2,"Ari."
"72","Tmp",1,2,"Pro."
"73","Tmp",1,2,"Ar."
"74","Tmp",1,2,"Pro."
"75","Tmp",1,2,"Ar."
"76","Tmp",1,2,"Pro."
"77","Tmp",1,2,"Ar."
"78","Tmp",1,2,"Pro."
"79","Tmp",1,2,"Ar."
"80","Tmp",1,2,"Pro."
"81","Tmp",1,2,"Ar."
"82","Tmp",1,2,"Pro."
"83","Tmp",1,2,"Ar."
"84","Tmp",1,2,"Pro."
"85","Tmp",1,2,"Ar."
"86","Tmp",1,2,"Pro."
"87","Tmp",1,2,"Ar."
"88","Tmp",1,2,"Pro."
"89","Tmp",1,2,"Ar."
"90","Tmp",1,2,"Pro."
"91","Tmp",1,2,"Ar."
"92","Tmp",1,2,"Pro."
"93","Tmp",1,2,"Ar."
"94","Tmp",1,2,"Pro."
"95","Tmp",1,2,"Ar."
"96","Tmp",1,2,"Pro."
"97","Tmp",1,2,"Ar."
"98","Tmp",1,2,"Pro."
"99","Tmp",1,2,"Ar."
"100","Tmp",1,2,"Pro."
"101","Tmp",1,2,"Ar."
"102","Tmp",1,2,"Pro."
"103","Tmp",1,2,"Ar."
"104","Tmp",1,2,"Pro."
